Mail ID,Author,Subject,TimeStamp,Content,Vendor,Item,Buyer,Amount,Quality,Weapon,Type,Vendor Type
01020250,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-04 15:05:00,"Vendor: MM Weapons has sold MM | Sliced Power Hammer to Jundra for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Power Hammer,Jundra,125000,Sliced,Power Hammer,Two Hand,Weapon
01020694,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-04 16:44:42,"Vendor: MM Weapons has sold MM | 76 SAC Enhanced DL44 XT to Titio Avo for 200000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | 76 SAC Enhanced DL44 XT,Titio Avo,200000,Enhanced,SAC Enhanced DL44 XT,,Weapon
01020709,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-04 16:53:29,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Gothmog for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Vibro Knuckler,Gothmog,125000,Sliced,Vibro Knuckler,Melee,Weapon
01030024,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-06 03:05:50,"Vendor: MM Weapons has sold MM | Sliced Long Vibro Axe to Aenea Lohiat for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Long Vibro Axe,Aenea Lohiat,125000,Sliced,Long Vibro Axe,Polearm,Weapon
01030042,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-06 03:07:06,"Vendor: MM Weapons has sold MM | Sliced Elite Carbine to kalyhoo bull for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Elite Carbine,kalyhoo bull,125000,Sliced,Elite Carbine,Carbine,Weapon
01036188,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-07 03:23:32,"Vendor: MM Weapons has sold MM | Sliced Gaderiffi Baton to Jundra for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Gaderiffi Baton,Jundra,125000,Sliced,Gaderiffi Baton,One Hand,Weapon
01038961,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-07 18:03:29,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Chaam Hoaur for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Rocket Launcher,Chaam Hoaur,125000,Sliced,Rocket Launcher,Heavy,Weapon
01040947,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-08 00:08:59,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Taldarin Mengsk for 2500 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,Rodian Milk (Booster Blue)     25,Taldarin Mengsk,2500,,,,Other
01040949,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-08 00:09:03,"Vendor: MM Weapons has sold Rodian Milk (Booster Blue)     25 to Taldarin Mengsk for 2500 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,Rodian Milk (Booster Blue)     25,Taldarin Mengsk,2500,,,,Other
01042664,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-08 06:02:27,"Vendor: MM Weapons has sold MM | Enhanced 79 SAC Republic Blaster to Mavado for 200000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Enhanced 79 SAC Republic Blaster,Mavado,200000,Enhanced,79 SAC Republic Blaster,,Weapon
01086316,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-13 16:57:15,"Vendor: MM Weapons has sold MM | Enhanced Light Lightning Rifle to Growlbacca for 175000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Enhanced Light Lightning Rifle,Growlbacca,175000,Enhanced,Light Lightning Rifle,Rifle,Weapon
01089500,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-13 23:57:03,"Vendor: MM Weapons has sold MM | Sliced Power Hammer to Hoisky Galij for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Power Hammer,Hoisky Galij,125000,Sliced,Power Hammer,Two Hand,Weapon
01089519,SWG.Restoration.auctioner,Vendor Sale Complete,2022-06-13 23:59:14,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Hoisky Galij for 125000 credits.
The sale took place at Nym Protectorate, on Lok.",MM Weapons,MM | Sliced Vibro Knuckler,Hoisky Galij,125000,Sliced,Vibro Knuckler,Melee,Weapon
